Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo
Sin mi diablo,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.928,0.0424,0.552,0.581,-6.613,0.0325,0.0431,0.117,122.704
Fan de Scorpions,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.772,0.539,0.554,0.619,-7.366,0.537,0.0327,0.114,129.955
Gratis,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.526,0.852,0.426,0.552,-12.184,0.00539,0.0403,0.135,170.01
Once,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.854,0.0498,0.522,0.699,-5.274,0.000253,0.0431,0.265,136.087
Putita,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.753,0.514,0.477,0.521,-6.112,0.00381,0.0343,0.17,178.013
La Lanza,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.722,0.0722,0.698,0.748,-6.018,0.000109,0.0402,0.608,91.98
Aduana de Palabras,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.726,0.219,0.738,0.541,-6.967,0.00251,0.0268,0.0965,123.985
El Baile de Odín,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.859,0.000824,0.515,0.696,-5.531,0.0182,0.0324,0.332,141.999
Run Run,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.69,0.00527,0.65,0.581,-5.56,0.0651,0.0289,0.321,130.0
Los Burócratas del Amor,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.762,0.0736,0.602,0.513,-5.88,0.6,0.0296,0.0996,127.997
Negrita,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.482,0.187,0.759,0.776,-9.119,0.0404,0.0572,0.11,79.996
Uso,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.898,0.0153,0.489,0.831,-6.153,0.000535,0.064,0.154,184.979
Humo,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.79,0.199,0.458,0.378,-8.335,0.000675,0.0367,0.248,169.94
Casi,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.481,0.791,0.675,0.318,-9.852,2.04e-06,0.0298,0.105,99.168
Uno Tres Dos,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.783,0.22,0.633,0.256,-5.711,1.56e-05,0.0274,0.15,119.983
Paisano,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.744,0.00262,0.664,0.723,-5.585,0.128,0.0301,0.0824,107.488
Celofán,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.356,0.811,0.681,0.131,-12.427,0,0.0359,0.171,120.053
Utopia Overture,Cristobal Tapia De Veer,canadian soundtrack,0.457,0.53,0.688,0.578,-12.032,0.761,0.106,0.322,170.019
